date,reliance_open,reliance_high,reliance_low,reliance_close,reliance_volume,nifty_open,nifty_high,nifty_low,nifty_close,nifty_volume,reliance_return,nifty_return
2021-04-01,915.0242884490824,920.4654298,908.290775524704,916.7699584960938,11723312,14798.40039,14883.2002,14692.4502,14867.34961,445000,0.009360553795303872,0.01202457388654632
2021-04-05,918.1756272004716,918.198295125252,889.6774882,903.5071411132812,14875099,14837.7002,14849.84961,14459.5,14637.7998,509700,-0.01446689789505029,-0.015439860904703506
2021-04-06,908.6762538058488,909.107004338236,892.8061280725167,899.7436523,14009194,14737.0,14779.09961,14573.90039,14683.5,475300,-0.004165422321559031,0.003122067566465825
2021-04-07,906.8625335398098,928.128465159544,903.8245518752842,908.1547852,24266353,14716.4502,14879.7998,14649.84961,14819.0498,0,0.009348365924559454,0.009231436646576219
2021-04-08,911.8502253,916.8379481306634,903.6884533297168,909.2883301,15369188,14875.65039,14984.15039,14821.09961,14873.7998,514800,0.0012481846910605832,0.003694568865002301
2021-04-09,906.1597285641936,909.7418004729616,897.7938848658578,898.7234497070312,14037885,14882.65039,14918.4502,14785.65039,14834.84961,504100,-0.011618845247697074,-0.002618711460672052
2021-04-12,888.2718159255257,889.3600561933767,861.6327472,866.5751342773438,20901482,14644.65039,14652.5,14248.7002,14310.7998,650200,-0.035771087802557444,-0.03532558966062871
2021-04-13,872.4017415275625,879.9287521472845,869.6131669055775,875.9385375976562,19411189,14364.90039,14528.90039,14274.90039,14504.7998,605100,0.010805068077704316,0.013556195510470381
2021-04-15,873.4446120904353,889.1786704861084,867.4139846330557,881.6063842773438,19723716,14522.40039,14597.5498,14353.2002,14581.4502,568000,0.006470598605276656,0.0052844852088203
2021-04-16,878.1150581636493,884.1456861292494,873.5126894782757,876.0745849609375,15656948,14599.59961,14697.7002,14559.0,14617.84961,577200,-0.006274681552970729,0.0024962818855973623
2021-04-19,863.3330655330114,868.9556101628922,856.9850274045621,862.2901611328125,18478808,14306.59961,14382.2998,14191.40039,14359.4502,512300,-0.015734303979083708,-0.017676978276150113
2021-04-20,866.2804554,870.1346024372397,857.1891778,862.0408935546875,17203668,14526.7002,14526.9502,14207.2998,14296.40039,467400,-0.00028907621745044576,-0.00439082340353103
2021-04-22,858.0052836359382,868.0714611843059,850.9544197704057,864.4213256835938,14490954,14219.15039,14424.75,14151.40039,14406.15039,524600,0.002761391190028606,0.00767675757575792
2021-04-23,864.2400438171045,870.0892682363567,859.4109960022909,863.4918823242188,11828857,14326.34961,14461.15039,14273.2998,14341.34961,498100,-0.0010752203025995444,-0.0044981329672209025
2021-04-26,870.5881145351398,889.6322314145979,866.7339073312086,878.6818237304688,20846778,14449.4502,14557.5,14421.2998,14485.0,452700,0.017591296128185885,0.010016518243153083
2021-04-27,879.6566357896455,905.5928792,878.8631384956852,901.7160645,19992524,14493.7998,14667.5498,14484.84961,14653.0498,451800,0.026214541085803678,0.011601643079047319
2021-04-28,905.8876517747104,910.4899602170952,897.8619469,905.6382446289062,17122437,14710.5,14890.25,14694.9502,14864.5498,457000,0.0043496842113832646,0.014433855264724516
2021-04-29,917.2460348994038,927.0401972486708,910.1725631547909,917.7675170898438,17412606,14979.0,15044.34961,14814.4502,14894.90039,517500,0.01339306564500009,0.002041810240361208
2021-04-30,910.7166908105166,923.1860285256436,901.2173310194296,904.3686523,19828769,14747.34961,14855.4502,14601.7002,14631.09961,613900,-0.014599410570043214,-0.017710811961999418
