Date,Open,High,Low,Close,Volume
28-07-2023,19659.75,19695.90039,19563.09961,19646.05078,258700
31-07-2023,19666.34961,19772.75,19597.59961,19753.80078,295100
01-08-2023,19784,19795.59961,19704.59961,19733.55078,298000
02-08-2023,19655.40039,19678.25,19423.55078,19526.55078,290700
03-08-2023,19463.75,19537.65039,19296.44922,19381.65039,315700
04-08-2023,19462.80078,19538.84961,19436.44922,19517,280800
07-08-2023,19576.84961,19620.44922,19524.80078,19597.30078,216600
08-08-2023,19627.19922,19634.40039,19533.09961,19570.84961,260300
09-08-2023,19578.80078,19645.5,19467.5,19632.55078,266500
10-08-2023,19605.55078,19623.59961,19495.40039,19543.09961,312200
11-08-2023,19554.25,19557.75,19412.75,19428.30078,235500
14-08-2023,19383.94922,19465.84961,19257.90039,19434.55078,243900
16-08-2023,19369,19482.75,19317.19922,19465,0
17-08-2023,19450.55078,19461.55078,19326.25,19365.25,268700
18-08-2023,19301.75,19373.80078,19253.59961,19310.15039,256100
21-08-2023,19320.65039,19425.94922,19296.30078,19393.59961,262600
22-08-2023,19417.09961,19443.5,19381.30078,19396.44922,208700
23-08-2023,19439.19922,19472.05078,19366.59961,19444,225200
24-08-2023,19535.15039,19584.44922,19369,19386.69922,268300
25-08-2023,19297.40039,19339.55078,19229.69922,19265.80078,466500
28-08-2023,19298.34961,19366.84961,19249.69922,19306.05078,248200
29-08-2023,19374.84961,19377.90039,19309.09961,19342.65039,307400
30-08-2023,19433.44922,19452.80078,19334.75,19347.44922,233000
31-08-2023,19375.55078,19388.19922,19223.65039,19253.80078,562600
01-09-2023,19258.15039,19458.55078,19255.69922,19435.30078,333000
04-09-2023,19525.05078,19545.15039,19432.84961,19528.80078,296800
05-09-2023,19564.65039,19587.05078,19525.75,19574.90039,256800
06-09-2023,19581.19922,19636.44922,19491.5,19611.05078,287600
07-09-2023,19598.65039,19737,19550.05078,19727.05078,304900
08-09-2023,19774.80078,19867.15039,19727.05078,19819.94922,288100
11-09-2023,19890,20008.15039,19865.34961,19996.34961,248800
12-09-2023,20110.15039,20110.34961,19914.65039,19993.19922,328100
13-09-2023,19989.5,20096.90039,19944.09961,20070,251400
14-09-2023,20127.94922,20167.65039,20043.44922,20103.09961,275100
15-09-2023,20156.44922,20222.44922,20129.69922,20192.34961,438200
18-09-2023,20155.94922,20195.34961,20115.69922,20133.30078,264900
20-09-2023,19980.75,20050.65039,19878.84961,19901.40039,378100
21-09-2023,19840.55078,19848.75,19709.94922,19742.34961,275100
22-09-2023,19744.84961,19798.65039,19657.5,19674.25,246400
25-09-2023,19678.19922,19734.15039,19601.55078,19674.55078,188400
26-09-2023,19682.80078,19699.34961,19637.44922,19664.69922,204900
27-09-2023,19637.05078,19730.69922,19554,19716.44922,203600
28-09-2023,19761.80078,19766.65039,19492.09961,19523.55078,352800
29-09-2023,19581.19922,19726.25,19551.05078,19638.30078,243500
